City,Place,Ratings,Distance,Place_desc,Images
Mumbai,Elephanta Caves,4.3,14 km from city center,"An UNESCO World Heritage Site, Elephanta Caves is a specimen of rock cut art and architecture from the times of medieval India. It is an island and is located at a distance of 11km from the city of Mumbai. It also provides an amazing view of the Mumbai skyline.",https://images.unsplash.com/photo-1684837681040-bf2a1653de60?q=80&w=1934&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Walk at Marine drive,4.8,16 km from city center,"Starting from the north of Nariman Point and ending at the famous Chowpatty beach, the Marine Drive is a 3km long arc shaped road along the sea coast of South Mumbai. The coast lines the Arabian sea and is the best place to watch the sunset in Mumbai.",https://images.unsplash.com/photo-1567870374047-3f9db5c06b16?q=80&w=1410&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Picnic at Juhu Beach,4.4,8 km from city center,"The most popular beach in Mumbai, Juhu beach is located close to Andheri and was once quite a beautiful beach. However, with so many tourists coming in here, the place has become dirty and water is also not clean because of affluents from nearby factories and industries.",https://images.unsplash.com/photo-1515453814433-52e741686bbc?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Shopping at Colaba Causeway,4.3,18 km from city center,"One of the most crowded and electrifying places to visit in Mumbai is the Colaba Causeway, famous for being a shopping paradise and having endless shops to choose from. It has a charm about it, which will suck you into its world of colourful shops andÂ old-world cafes like a magnet.",https://images.unsplash.com/photo-1671546620678-76128042afa2?q=80&w=1935&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Stroll around Gateway of India,4.4,18 km from city center,"One of the most distinguished monument in Mumbai, The Gateway of India was built in 1924. Now it has become a popular tourist hub in the city. Located at Apollo Bunder Waterfront, the monument overlooks the Arabian Sea in the most beautiful way.",https://images.unsplash.com/photo-1580581096469-8afb38d3dbd5?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Bollywood Tour at Film City,3.8,10 km from city center,Indian Film Industry accounts as one of the largest in the world and Film City serves as an essential part of it. It is a place where it is difficult to differentiate between the reality and fakeness.,https://i.ytimg.com/vi/aJgz9Sz1MAg/maxresdefault.jpg
Mumbai,Hanging Gardens,3.8,15 km from city center,"Marked by bushes trimmed into shapes of various animals and proximity to the Arabian Sea are the Hanging Gardens, opposite the Kamla Nehru park. Spend a relaxed evening here, enjoying the sunset, especially if you are with kids.",https://www.mumbailive.com/images/media/images/hanging_garden_1695731117497.jpg?bg=292712&crop=960%2C538.9473684210526%2C0%2Cnull&fit=crop&fitToScale=w%2C1368%2C768&fm=webp&h=768&height=639&w=1368&width=960
Mumbai,Prince of Wales Museum,4.3,17 km from city center,"The Prince of Wales Museum is regarded as one of the heritage buildings of Mumbai owing to its splendid architecture. The museum comprises of aÂ plethora of ancient, exquisite artefacts relating to the rich and diverse history of India.",https://images.unsplash.com/photo-1664863988713-aaa4219e3064?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Mumbai Zoo,3.8,12 km from city center,"Popularly known as Veermata Jijabai Udhyan, the zoo is the best way to spend family holidays amidst a vast variety of birds & animals.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/59/30/3f/20190922095841-img-1398.jpg?w=800&h=-1&s=1
Mumbai,Enjoy Rides at Essel World,3.6,19 km from city center,"Located on the edge of northern suburbs, Mumbai's favouriteÂ adventure and water park, Essel World and Water KingdomÂ are probably the best themed park and water park in India. During the hot and humid summer or Mumbai, a lot of locals and tourists throng Water Kingdom.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/2f/66/92/img-20160925-144354-largejpg.jpg?w=1100&h=-1&s=1
Mumbai,Pray at Siddhivinayak Temple,4.3,8 km from city center,"Located in Prabhadevi, Siddhivinayak is a Lord Ganesha temple, one of the most significant and frequented temples in Mumbai. Visitors visit this temple in large numbers on daily basis. It is one of the richest temples in Mumbai. The wooden doors to the sanctum are carved with images of the Lord. The inner roof which is plated with gold has the central sculpture of Ganesha.",https://images.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/01/21/Pictures/plating-devotee-around-delhi-weighing-donated-gold_2f6fc288-3c2a-11ea-bfbd-f812f33ac46f.jpg
