Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
crowne plaza kochi,kochi,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
trident hotel cochin,kochi,5-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
the galaxy suites,kochi,apartment,sleeps 10,free parking,free wi-fi,no air conditioning,no airport shuttle,no beach access,no elevator,no fireplace
the renai cochin,kochi,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
ramada by wyndham kochi,kochi,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
the renai cochin,kochi,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
"radisson blu hotel, kochi",kochi,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"holiday inn cochin, an ihg hotel",kochi,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
oak field inn,kochi,free breakfast,wi-fi,free parking,air conditioning,restaurant,kitchen,full-service laundry,kid-friendly,0
grand hyatt kochi bolgatty,kochi,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
hotel south gate residency,kochi,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,restaurant,airport shuttle,full-service laundry,kid-friendly
cherai beach resorts,kochi,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,beach access
north centre hotel,kochi,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,airport shuttle,full-service laundry,kid-friendly,smoke-free
boche island - kumbalangi,kochi,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,spa,restaurant
trident hotel cochin,kochi,5-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"nihara resort & spa, kadamakudy island, kochi",kochi,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,spa,restaurant,room service
ayurjani ayurvedics,kochi,sleeps 4,2 bedrooms,air conditioning,fireplace,paid parking,no crib,no elevator,no fitness center,no ironing board
niko hotels,kochi,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,accessible
crowne plaza kochi,kochi,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
the gateway hotel marine drive ernakulam,kochi,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
napier heritage fort kochi,kochi,free breakfast,free wi-fi,free parking,pool,air conditioning,beach access,restaurant,room service,full-service laundry
"radisson blu hotel, kochi",kochi,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
maurya rajadhani,trivandrum,4-star hotel,free breakfast,free wi-fi,free parking,hot tub,air conditioning,fitness center,spa,bar
