name,address,Phone,price_range_from,price_range_to,cuisines,rating,review_count,excellent_count,very_good_count,average_count,poor_count,terrible_count
1 Tablespoon,"23, Ram Villa, Opposite Sahkari Bhandar, Matunga East Opp Sahakari Bhandar, Matunga East,, Mumbai 400019 India",+91 22 2403 3441,,,"Pizza, Fast food",4,31,9,15,4,2,1
10th Street Cafe,"Khar Pali Road, Road No 10, Khar Shop No 3 & 4, Mangal Bhavna, Mumbai 400049 India",+91 87790 92308,,,"Italian, Cafe",4.5,18,8,8,2,0,0
10th Street Cafe,"10th Road , Shop No 8 , Sukhmani Himalaya Coopertaive Society, JVPD Scheme, Mumbai 400049 India",+91 22 2628 2826,,,"Italian, Mexican, American, Cafe, Eastern European",4,7,3,3,0,0,1
1441 Pizzeria,"Raj Infinia, Evershine Nagar Malad West Near Movie Time Cinema, Mumbai 400064 India",+91 80970 81441,245,645,"Italian, Pizza, Fast food",4.5,68,51,16,1,0,0
1441 Pizzeria,"Senapati Bapat Road, Mumbai 400053 India",+91 84549 14411,245,745,"Pizza, Italian",4.5,40,23,16,1,0,0
1441 Pizzeria,"S.B Road Shop No 5, Ground Floor, Hari Chambers, 58 / 64, Fort, Mumbai 400001 India",+91 86550 21441,195,800,"Italian, Pizza, Fast food",4.5,143,68,58,9,2,4
1441 Pizzeria Lokhandwala,"Shop Number 20, Ground Floor, Samartha Vaibhav CHS LTD., Mumbai 400053 India",+91 91678 91441,11,695,"Italian, Pizza",4.5,71,47,22,1,0,0
1441 Pizzeria Thane,"5 Pokhran Road Tiara Commercial Complex, Village Majiwada, Thane West, Near Gandhinagar Water Tank, Mumbai 400601 India",+91 98193 14410,245,645,"Pizza, Italian",4,18,9,6,1,1,1
145 Bandra,"Pali Road 1st Floor, HSBC Building, Mumbai 400050 India",,,,,4.5,83,44,32,6,1,0
145 Cafe & Bar,"New Link Road 1st Floor, Ghanshyam Chambers, Mumbai 400053 India",+91 22 6810 1998,,,"Indian, Cafe",4.5,18,13,4,0,1,0
